Altium Designer Pick and Place Locations
E:\07github\esp32core\1.Hardware\ESP32D0WDQ6\ESP32Sample\Gerber\Pick Place\Pick Place for ESP32DOWDQ6.csv

========================================================================================================================
File Design Information:

Date:       11/12/21
Time:       12:04
Revision:   d4135d36bad140abee9e8a74dfcb6ce1c1818c1f
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"H2","KH-2.54PH180-1X18P-L11.5","TopLayer","HDR-TH_18P-P2.54-V-M","1170.000","1310.000","180",""
"FPC1","FPC-05F-24PH20","TopLayer","FPC-SMD_24P-P0.50_FPC-05F-24PH20","1535.690","827.913","270","FPC24脚"
"Y1","XTAL","TopLayer","XTAL_socket","1830.000","1015.000","90","Crystal Oscillator"
"X1","40MHz","TopLayer","OSC-SMD_4P-L3.2-W2.5-BL","385.000","780.010","0","有源晶振"
"USB1","TYPEC-304-BCP16","TopLayer","USB-C-SMD_TYPEC-304-BCP16","2610.000","750.000","90",""
"U8","TJA1042T/1J","TopLayer","SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL","395.000","385.000","0","CAN芯片"
"U7","MS5611","TopLayer","MS5611","768.307","504.606","0",""
"U6","HWC5883L","TopLayer","LPCC-16_L3.0-W3.0-P0.50-BL","735.003","270.007","0",""
"U5","MPU-6050","TopLayer","QFN-24_4x4x05P","1091.260","504.843","180","传感器"
"U4","GD25Q32CSIG_C318845","TopLayer","SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL","311.024","1110.000","270",""
"U3","AMS1117-3.3_C369933","TopLayer","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","2438.055","379.047","0",""
"U2","ESP32","TopLayer","QFN-48-EP3.8","740.000","1030.000","90",""
"U1","CH340G","TopLayer","SOIC-16_150mil","2182.362","1025.000","270","USB"
"SW1","TS-1092S-B1D2-W","TopLayer","SW-SMD_L6.1-W3.6-LS7.9","2405.000","125.000","180","触控开关"
"R26","4.7KΩ (4701) ±1%","TopLayer","0402_R","1693.268","1070.000","180","贴片电阻"
"R25","10KΩ (1002) ±1%","TopLayer","0402_R","1703.268","765.000","180","贴片电阻"
"R24","4.7KΩ (4701) ±1%","TopLayer","0402_R","1688.268","920.000","180","贴片电阻"
"R23","1KΩ (1001) ±1%","TopLayer","0402_R","1703.268","825.000","180","贴片电阻"
"R22","4.7KΩ (4701) ±1%","TopLayer","0402_R","1675.000","998.268","90","贴片电阻"
"R21","10Ω (10R0) ±1%","TopLayer","0402_R","1698.268","535.000","180","贴片电阻"
"R20","470Ω (4700) ±1%","TopLayer","0402_R","1205.000","208.268","90","贴片电阻"
"R19","4.7KΩ (4701) ±1%","TopLayer","0402_R","1025.000","708.268","270","贴片电阻"
"R18","4.7KΩ (4701) ±1%","TopLayer","0402_R","1090.000","708.268","270","贴片电阻"
"R17","4.7KΩ (4701) ±1%","TopLayer","0402_R","400.000","158.268","90","贴片电阻"
"R16","1KΩ (1001) ±1%","TopLayer","0402_R","2115.000","500.000","180","贴片电阻"
"R15","10Ω (10R0) ±1%","TopLayer","0402_R","480.000","643.268","90","贴片电阻"
"R14","1KΩ (1001) ±1%","TopLayer","0402_R","2115.000","560.000","180","贴片电阻"
"R13","1KΩ (1001) ±1%","TopLayer","0402_R","2190.000","278.268","90","贴片电阻"
"R12","4.7KΩ (4701) ±1%","TopLayer","0402_R","875.000","603.268","270","贴片电阻"
"R11","4.7KΩ (4701) ±1%","TopLayer","0402_R","940.000","603.268","270","贴片电阻"
"R10","20KΩ (2002) ±1%","TopLayer","0402_R","760.000","708.268","90","贴片电阻"
"R9","0Ω (0R0) ±1%","TopLayer","0402_R","700.000","708.268","90","贴片电阻"
"R8","49.9Ω (49R9) ±1%","TopLayer","0402_R","1968.268","1100.000","180","贴片电阻"
"R7","5.1KΩ (5101) ±1%","TopLayer","0402_R","2363.268","735.000","180","贴片电阻"
"R6","0Ω (0R0) ±1%","TopLayer","0402_R","1110.000","925.000","0","贴片电阻"
"R5","5.1KΩ (5101) ±1%","TopLayer","0402_R","2363.268","800.000","180","贴片电阻"
"R4","12KΩ (1202) ±1%","TopLayer","0402_R","2400.000","1065.000","90","贴片电阻"
"R3","12KΩ (1202) ±1%","TopLayer","0402_R","2400.000","1241.732","270","贴片电阻"
